# Names the corpus applies on top of the Ghidra dump.
#
# tier: binary = the image states it (a VProf scope, RTTI, an export)
#       doc    = a docs/ topic file states it beside the address
#       inferred = argued from call sites or slot position, and nothing else
#
# `corpus names --apply` writes these; `build` and `reindex` re-apply them. A row
# removed from this file is reverted to whatever the dump called it. A row that
# disagrees with a name the dump recovered is reported and NOT applied.
module	addr	name	tier	evidence
engine.dll	20099010	Host_AutoSave_f	doc	docs/vtmb/entity_io.md
engine.dll	200f62b0	SV_Frame	doc	docs/vtmb/game_runtime.md
vampire.dll	10027470	CBaseEntity::GetRefEHandle	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10082ad0	InputPausePlayback	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10082b00	InputResumePlayback	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10082b80	InputCancelPlayback	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10126e20	SetDuckedEyeOffset	doc	docs/vtmb/source_movement.md
vampire.dll	1015ff40	IsInCombatStance	doc	docs/vtmb/animation_and_movers.md
vampire.dll	1016aaf0	CBasePlayer::ProcessUsercmds	doc	docs/vtmb/game_runtime.md
vampire.dll	1019e5d0	RecalculateLength	doc	docs/vtmb/entity_visuals.md
vampire.dll	1020dd70	CPropSwitchSwitchThink	doc	docs/vtmb/entity_io.md
vampire.dll	103ea510	CWeaponMelee::Deploy	doc	docs/vtmb/combat-and-damage.md
vampire.dll	103eae00	CWeaponMelee::SecondaryAttack	doc	docs/vtmb/combat-and-damage.md
