table	offset	size	member	type	field_type	count	flags	layer	tier	writers	readers
CAI_BaseNPCTroika	0x021c	0x4	m_iszDamageFilterName	string_t	FIELD_STRING	1	KEY key=dmg_filter_name	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0220	0x4	m_hDamageFilter	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0224	0x4	m_debugOverlays	int	FIELD_INTEGER	1		CBaseEntity	datamap	0	4
CAI_BaseNPCTroika	0x0228		m_pTimedOverlay	TimedOverlay_t*		1		CBaseEntity	sdk-order	2	2
CAI_BaseNPCTroika	0x022c	0x4	m_nSimulationTick	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0230		m_DamageModifiers	CUtlLinkedList<CDamageModifier*,int>		1		CBaseEntity	sdk-order	0	3
CAI_BaseNPCTroika	0x0234		m_DamageModifiers.m_Memory.m_nAllocationCount	int		1		CBaseEntity	sdk-order	2	0
CAI_BaseNPCTroika	0x0238		m_DamageModifiers.m_Memory.m_nGrowSize	int		1		CBaseEntity	sdk-order	0	2
CAI_BaseNPCTroika	0x023c		m_DamageModifiers.m_Head	int		1		CBaseEntity	sdk-order	0	2
CAI_BaseNPCTroika	0x0254	0x4	m_pParent	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0258	0x1	m_iParentAttachment	char	FIELD_CHARACTER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x025c	0x4	m_pMoveParent	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0260	0x4	m_pMoveChild	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0264	0x4	m_pMovePeer	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0268	0x4	m_iEFlags	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x026c	0x4	m_iName	string_t	FIELD_STRING	1	KEY key=targetname	CBaseEntity	datamap	1	19
CAI_BaseNPCTroika	0x0270	0x64	m_Collision	CCollisionProperty	FIELD_EMBEDDED	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0274	0xc	m_Collision.m_vecMins	Vector	FIELD_VECTOR	1	GLOBAL	CBaseEntity	datamap	0	5
CAI_BaseNPCTroika	0x0278		m_Collision.m_vecMins.y	float		1		CBaseEntity	interior	0	3
CAI_BaseNPCTroika	0x027c		m_Collision.m_vecMins.z	float		1		CBaseEntity	interior	0	3
CAI_BaseNPCTroika	0x0280	0xc	m_Collision.m_vecMaxs	Vector	FIELD_VECTOR	1	GLOBAL	CBaseEntity	datamap	0	4
CAI_BaseNPCTroika	0x0284		m_Collision.m_vecMaxs.y	float		1		CBaseEntity	interior	0	3
CAI_BaseNPCTroika	0x0288		m_Collision.m_vecMaxs.z	float		1		CBaseEntity	interior	0	3
CAI_BaseNPCTroika	0x028c	0x1	m_Collision.m_nSurroundType	char	FIELD_CHARACTER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0290	0x4	m_Collision.m_flTriggerBloat	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0294	0xc	m_Collision.m_vecSpecifiedSurroundingMins	Vector	FIELD_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x02a0	0xc	m_Collision.m_vecSpecifiedSurroundingMaxs	Vector	FIELD_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x02b0	0x4	m_Collision.m_Solid	int	FIELD_INTEGER	1	KEY key=solid	CBaseEntity	datamap	0	4
CAI_BaseNPCTroika	0x02b4	0x2	m_Collision.m_usSolidFlags	short	FIELD_SHORT	1		CBaseEntity	datamap	0	24
CAI_BaseNPCTroika	0x02b5		m_Collision.m_usSolidFlags.hibyte	unsigned char		1		CBaseEntity	walked	0	1
CAI_BaseNPCTroika	0x02b8	0x4	m_Collision.m_flRadius	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x02bc	0xc	m_Collision.m_vecSurroundingMins	Vector	FIELD_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x02c8	0xc	m_Collision.m_vecSurroundingMaxs	Vector	FIELD_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x02d4		m_Network	CServerNetworkProperty		1		CBaseEntity	sdk-order	0	4
CAI_BaseNPCTroika	0x02e0		m_Network.m_pPev	edict_t*		1		CBaseEntity	walked	0	86
CAI_BaseNPCTroika	0x035c	0x4	m_MoveType	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0360	0x4	m_MoveCollide	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0364	0x4	m_hOwnerEntity	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0368	0x4	m_CollisionGroup	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x036c	0x4	m_pPhysicsObject	custom	FIELD_CUSTOM	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0370	0x4	m_flElasticity	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0374	0x4	m_iszUseScript	string_t	FIELD_STRING	1	KEY key=usescript	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0378		m_pPythonObject	PyObject*		1		CBaseEntity	walked	0	3
CAI_BaseNPCTroika	0x037c	0x4	m_hAimEnt	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0380		m_bSentLastFrame	bool		1		CBaseEntity	walked	1	1
CAI_BaseNPCTroika	0x0384	0x4	m_hGroundEntity	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0388	0x4	m_ModelName	string_t	FIELD_MODELNAME	1	GLOBAL KEY key=model	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x038c	0xc	m_vecSize	Vector	FIELD_VECTOR	1	GLOBAL KEY key=size	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0390		m_vecSize.y	float		1		CBaseEntity	interior	2	0
CAI_BaseNPCTroika	0x0394		m_vecSize.z	float		1		CBaseEntity	interior	2	0
CAI_BaseNPCTroika	0x03b0	0xc	m_vecBaseVelocity	Vector	FIELD_VECTOR	1	KEY key=basevelocity	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03bc		m_vecAbsVelocity	Vector		1		CBaseEntity	sdk-order	3	17
CAI_BaseNPCTroika	0x03c0		m_vecAbsVelocity.y	float		1		CBaseEntity	sdk-order	3	15
CAI_BaseNPCTroika	0x03c4		m_vecAbsVelocity.z	float		1		CBaseEntity	sdk-order	3	16
CAI_BaseNPCTroika	0x03c8	0xc	m_vecAngVelocity	Vector	FIELD_VECTOR	1	KEY key=avelocity	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03d4	0xc	m_vecVelocity	Vector	FIELD_VECTOR	1	KEY key=velocity	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03e0	0x4	m_nWaterLevel	int	FIELD_INTEGER	1	KEY key=waterlevel	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03e4	0x4	m_nWaterType	int	FIELD_INTEGER	1	KEY key=watertype	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03ec	0x4	m_flGravity	float	FIELD_FLOAT	1	KEY key=gravity	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03f0	0x4	m_flFriction	float	FIELD_FLOAT	1	KEY key=friction	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03f4	0x4	m_flLocalTime	float	FIELD_FLOAT	1	KEY key=ltime	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03f8	0x4	m_flVPhysicsUpdateLocalTime	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x03fc	0x4	m_flMoveDoneTime	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0404	0xc	m_vecAbsOrigin	Vector	FIELD_POSITION_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0410	0xc	m_angAbsRotation	Vector	FIELD_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0414		m_angAbsRotation.y	float		1		CBaseEntity	interior	2	0
CAI_BaseNPCTroika	0x0418		m_angAbsRotation.z	float		1		CBaseEntity	interior	2	0
CAI_BaseNPCTroika	0x041c	0xc	m_vecOrigin	Vector	FIELD_VECTOR	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0420		m_vecOrigin.y	float		1		CBaseEntity	interior	3	4
CAI_BaseNPCTroika	0x0424		m_vecOrigin.z	float		1		CBaseEntity	interior	3	4
CAI_BaseNPCTroika	0x0428	0xc	m_angRotation	Vector	FIELD_VECTOR	1	KEY key=angles	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x042c		m_angRotation.y	float		1		CBaseEntity	interior	2	3
CAI_BaseNPCTroika	0x0430		m_angRotation.z	float		1		CBaseEntity	interior	2	6
CAI_BaseNPCTroika	0x0434	0x4	m_fFlags	int	FIELD_INTEGER	1	KEY key=flags	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0438	0x4	m_fFlags2	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x043c		m_bIsPlayerSimulated	bool		1		CBaseEntity	sdk-order	1	0
CAI_BaseNPCTroika	0x0440	0x4	m_hPlayerSimulationOwner	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0444		m_fDataObjectTypes	int		1		CBaseEntity	sdk-order	2	3
CAI_BaseNPCTroika	0x0448		m_RefEHandle	CBaseHandle		1		CBaseEntity	sdk-order	1	1
CAI_BaseNPCTroika	0x044c	0x1	m_bHasCalledMakerDeathNotice	bool	FIELD_BOOLEAN	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0450	0xc	MoverData.vecMovePos1	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x045c	0xc	MoverData.vecMovePos2	Vector	FIELD_VECTOR	1	KEY key=move_dest	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0468	0xc	MoverData.angMoveAngle1	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0474	0xc	MoverData.angMoveAngle2	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0480	0x4	MoverData.flMoveSpeed	float	FIELD_FLOAT	1	KEY key=move_speed	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0484	0x4	MoverData.Rot	int	FIELD_INTEGER	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0488	0x4	MoverData.Axis	int	FIELD_INTEGER	1	KEY key=rot_axis	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x048c	0x4	MoverData.flRotDist	float	FIELD_FLOAT	1	KEY key=rot_dist	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0490	0x4	MoverData.flRotSpeed	float	FIELD_FLOAT	1	KEY key=rot_speed	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0494	0x4	MoverData.TargetPos	int	FIELD_INTEGER	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0498	0x4	MoverData.CurrPos	int	FIELD_INTEGER	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x049c	0x4	MoverData.UseType	int	FIELD_INTEGER	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04a0	0x4	m_MoverMoveType	int	FIELD_INTEGER	1	KEY key=use_pref	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04a4	0x18	m_OnLinearMoveDone	COutputEvent	FIELD_CUSTOM	1	KEY OUTPUT key=OnLinearMoveDone	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04bc	0x18	m_OnAngularMoveDone	COutputEvent	FIELD_CUSTOM	1	KEY OUTPUT key=OnAngularMoveDone	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04d4	0x4	m_flMoveReboundDuration	float	FIELD_FLOAT	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04d8	0x4	m_flMoveReboundAmount	float	FIELD_FLOAT	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04dc	0x4	m_flMoveReboundStartTime	float	FIELD_FLOAT	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04e0	0xc	m_flMoveReboundVelocity	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04ec	0xc	m_flMoveReboundAngVelocity	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04f8	0x4	m_toggle_state	int	FIELD_INTEGER	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x04fc	0x4	m_flMoveDistance	float	FIELD_FLOAT	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0500	0x4	m_flWait	float	FIELD_FLOAT	1	KEY key=wait	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0504	0x4	m_flLip	float	FIELD_FLOAT	1	KEY key=lip	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0508	0xc	m_vecPosition1	Vector	FIELD_POSITION_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0514	0xc	m_vecPosition2	Vector	FIELD_POSITION_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0520	0xc	m_vecAngle1	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x052c	0xc	m_vecAngle2	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0538	0x4	m_flHeight	float	FIELD_FLOAT	1	KEY key=height	CBaseToggle	datamap		
CAI_BaseNPCTroika	0x053c	0x4	m_hActivator	EHANDLE	FIELD_EHANDLE	1		CBaseToggle	datamap	1	0
CAI_BaseNPCTroika	0x0540	0xc	m_vecFinalDest	Vector	FIELD_POSITION_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x054c	0xc	m_vecFinalAngle	Vector	FIELD_VECTOR	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x0558	0x4	m_movementType	int	FIELD_INTEGER	1		CBaseToggle	datamap		
CAI_BaseNPCTroika	0x055c	0x4	m_hIgnoreCollisionEntity	EHANDLE	FIELD_EHANDLE	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0560	0x4	m_flYawSpeed	float	FIELD_FLOAT	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0564	0x4	m_flGroundSpeedScalar	float	FIELD_FLOAT	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0568	0x1	m_fSequencePastHalf	bool	FIELD_BOOLEAN	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x056c	0x4	m_bForceLatch	int	FIELD_INTEGER	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0570	0x4	m_bSavedForceLatch	int	FIELD_INTEGER	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0574	0x10	m_nRagDollRootBone	int	FIELD_INTEGER	4		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0584	0x10	m_flRagDollBeginFadeTime	float	FIELD_FLOAT	4		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x0594	0x10	m_flRagDollFadeDuration	float	FIELD_FLOAT	4		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x05a4	0x4	m_flEffectStartTime	float	FIELD_TIME	1	KEY key=fx_start	CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x05a8	0x4	m_hAnimFollowModel	EHANDLE	FIELD_EHANDLE	1		CBaseCombatCharacter	datamap	1	1
CAI_BaseNPCTroika	0x05ac		m_bGroundSpeedFromIntervalMovement	bool		1		CBaseCombatCharacter	walked	1	1
CAI_BaseNPCTroika	0x05b0	0x4	m_fEffectsNextSequence	int	FIELD_INTEGER	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x05b4	0x1	m_bRepositionToAnimationExit	bool	FIELD_BOOLEAN	1		CBaseAnimating	datamap		
CAI_BaseNPCTroika	0x05b8		m_hExtraAnimationEntity	EHANDLE		1		CBaseAnimating	walked	3	3
